method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,65,completed,0.7638846635818481,3,32,GRAPH_SAGE,RELU,ADD,ADAM,0.0006087051669241104,0.0001,16,43.722373,,0.19555078306340098
Optuna-tpe,66,completed,7.470180511474609,3,32,GRAPH_SAGE,ELU,MAX,RMSPROP,0.0014220245495908885,1e-05,16,4.578261,,0.19584858771728858
Optuna-tpe,67,completed,1.030484676361084,3,32,GRAPH_SAGE,RELU,ADD,ADAM,0.0004184042835195813,0.01,16,21.241686,,0.2581198347913524
Optuna-tpe,68,completed,1.6753216981887817,3,32,GRAPH_SAGE,RELU,ADD,SGD,0.00013200545461530415,0.0001,128,2.706852,,0.17714151976385328
Optuna-tpe,69,completed,1.3347671031951904,2,64,GRAPH_SAGE,TANH,ADD,ADAM,0.00028067715980279926,0.0001,16,4.550849,,0.15227739461961645
Optuna-tpe,70,completed,1.197853446006775,3,32,GIN,GELU,ADD,ADAM,0.0006352815328779576,0.001,16,13.276538,,0.20524802880742965
Optuna-tpe,71,completed,1.012056827545166,3,32,GAT,RELU,ADD,ADAM,0.0008587131527783984,0.0001,16,20.926527,,0.04667335831472812
Optuna-tpe,72,completed,1.9773889780044556,3,32,GAT,RELU,ADD,ADAM,1.3047638669636034e-05,0.0001,16,74.556296,,0.1342978413556032
Optuna-tpe,73,completed,0.9432145953178406,3,32,GAT,RELU,ADD,ADAM,0.0002343353843713362,0.0001,16,38.787863,,0.10828070198779458
Optuna-tpe,74,completed,1.1326249837875366,3,32,GCN,RELU,ADD,ADAM,0.0004584447690943351,0.0001,16,15.568553,,0.018926901161759352
Optuna-tpe,75,completed,0.981509804725647,3,32,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0006113811514553154,0.0001,256,4.096531,,0.07610051136956027
Optuna-tpe,76,completed,0.8176003694534302,3,32,GAT,RELU,ADD,ADAM,0.0003721853450598353,0.0001,16,66.749982,,0.16801825564581596
Optuna-tpe,77,completed,1.0415160655975342,3,32,GAT,RELU,ADD,ADAM,0.0003413827653306526,0.0001,16,36.083987,,0.16095232844984658
Optuna-tpe,78,completed,5.298893928527832,3,32,GATED,RELU,MAX,SGD,0.00018356100509578387,0.01,128,0.929495,,0.23448284448534734
Optuna-tpe,79,completed,1.027968406677246,3,256,GAT,RELU,ADD,ADAM,0.0003708102961957465,1e-05,16,18.210963,,0.16438434193342372
Optuna-tpe,80,completed,0.9750285148620605,4,128,GAT,ELU,MEAN,ADAM,0.0002794054213891034,0.0001,16,39.447034,,0.13008241335458598
Optuna-tpe,81,completed,0.7962236404418945,3,32,GAT,RELU,ADD,ADAM,0.0005271818040574671,0.0001,16,48.771221,,0.06222968602481799
Optuna-tpe,82,completed,0.8195995688438416,3,32,GAT,RELU,ADD,ADAM,0.0004849323693869714,0.0001,16,61.559563,,0.0628728229609424
Optuna-tpe,83,completed,0.8448091745376587,3,32,GAT,RELU,ADD,ADAM,0.0005029846702054035,0.0001,16,51.267748,,0.057544509908671625
Optuna-tpe,84,completed,0.9696713089942932,3,32,GAT,RELU,ADD,ADAM,0.0009511645304803499,0.0001,16,18.577877,,0.04295652281393659
Optuna-tpe,85,completed,0.7750955820083618,3,512,GAT,RELU,ADD,ADAM,0.000575873509258413,0.0001,16,45.94463,,0.1385783732222784
Optuna-tpe,86,completed,2.656041383743286,3,512,GIN,RELU,MEAN_MAX,ADAM,0.0005334128344371273,0.0001,16,6.983682,,0.18377233586614344
Optuna-tpe,87,completed,0.9674948453903198,3,512,GAT,RELU,ADD,ADAM,0.0004388869830805984,0.001,16,13.203761,,0.1422317966926855
Optuna-tpe,88,completed,1.0201001167297363,3,512,GAT,GELU,ADD,ADAM,0.0002107428432090944,0.0001,16,25.925073,,0.11453107977771257
Optuna-tpe,89,completed,0.9407024383544922,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0013523338840024728,0.0001,256,1.757755,,0.21347789532111172
Optuna-tpe,90,completed,3.025078296661377,3,512,GAT,TANH,ADD,RMSPROP,0.0006139637954281819,1e-06,16,13.007239,,0.09181858648642674
Optuna-tpe,91,completed,0.8224824070930481,3,32,GAT,RELU,ADD,ADAM,0.0007883389686771709,0.0001,16,38.675421,,0.06273409875198192
Optuna-tpe,92,completed,0.7886269092559814,3,32,GAT,RELU,ADD,ADAM,0.00046650222741442484,0.0001,16,54.418735,,0.12382437717526495
Optuna-tpe,93,completed,0.749701201915741,3,32,GAT,RELU,ADD,ADAM,0.0003717548490743181,0.0001,16,69.788311,,0.12237847157090691
Optuna-tpe,94,completed,0.906669020652771,3,32,GAT,RELU,ADD,ADAM,0.00037740408070048603,0.0001,16,67.560825,,0.12703275983928014
Optuna-tpe,95,completed,1.154893159866333,3,32,GCN,RELU,ADD,ADAM,0.00028756517093223184,0.0001,32,20.236945,,0.13966345653556833
Optuna-tpe,96,completed,0.9526534676551819,3,64,GAT,RELU,ADD,ADAM,0.00024093293830986624,0.0,16,25.662915,,0.15866561857741734
Optuna-tpe,97,completed,0.8216127157211304,3,32,GAT,RELU,ADD,ADAM,0.0004418725908383467,0.0001,16,61.877722,,0.11998745383872779
Optuna-tpe,98,completed,1.051956057548523,3,32,GAT,RELU,MEAN,ADAM,0.0005791353752990292,0.01,16,80.15296,,0.10168045458711886
Optuna-tpe,99,completed,1.234848976135254,3,256,GATED,RELU,ADD,ADAM,0.00015422292478867812,0.0001,128,2.523173,,0.17255020484190065
